metric,group,HMOSD,baseline14,BBL,baseline26
AUC,GM01,0.9153±0.0024,0.9417±0.0028,0.9357±0.0027,0.9057±0.0067
AUC,GM02,0.9719±0.0094,0.9744±0.0044,0.9693±0.0054,0.9689±0.0049
AUC,GM03,0.9350±0.0132,0.9222±0.0070,0.9111±0.0026,0.9297±0.0089
AUC,GM04,0.9421±0.0088,0.9593±0.0041,0.9487±0.0151,0.9571±0.0023
AUC,GM05,0.9199±0.0156,0.9308±0.0047,0.9176±0.0080,0.9180±0.0035
AUC,GM06,0.8952±0.0112,0.9289±0.0044,0.9149±0.0055,0.8996±0.0116
AUC,GM07,0.8484±0.0549,0.9191±0.0033,0.9129±0.0095,0.9135±0.0104
AUC,GM08,0.9041±0.0208,0.9442±0.0047,0.9273±0.0047,0.9360±0.0033
AUC,mean,0.9165±0.0365,0.9401±0.0190,0.9297±0.0206,0.9286±0.0245

Recall,GM01,0.8872±0.0136,0.9499±0.0174,0.9321±0.0179,0.8965±0.0224
Recall,GM02,0.9615±0.0203,0.9776±0.0103,0.9690±0.0173,0.9625±0.0123
Recall,GM03,0.9173±0.0358,0.9540±0.0192,0.9501±0.0067,0.9294±0.0056
Recall,GM04,0.9096±0.0139,0.9548±0.0135,0.9267±0.0360,0.9585±0.0075
Recall,GM05,0.8762±0.0353,0.9113±0.0125,0.8782±0.0314,0.9191±0.0232
Recall,GM06,0.8495±0.0219,0.9377±0.0118,0.9241±0.0162,0.8766±0.0391
Recall,GM07,0.7240±0.1253,0.8983±0.0098,0.8810±0.0330,0.8812±0.0215
Recall,GM08,0.8350±0.0453,0.9535±0.0217,0.9350±0.0096,0.9275±0.0181
Recall,mean,0.8700±0.0712,0.9421±0.0257,0.9245±0.0313,0.9189±0.0324
