metric,group,HMOSD,baseline14,baseline16,baseline17,baseline22,baseline19,baseline20,baseline21,baseline23
AUC,GM01,0.8702±0.0192,0.8543±0.0141,0.8269±0.0292,0.8388±0.0081,0.8199±0.0232,0.8334±0.0259,0.7937±0.0420,0.8315±0.0378,0.8554±0.0377
AUC,GM02,0.8681±0.0242,0.8479±0.0334,0.8147±0.0446,0.8330±0.0218,0.8342±0.0149,0.8732±0.0452,0.8068±0.0494,0.8294±0.0356,0.8018±0.0581
AUC,GM03,0.8641±0.0273,0.8808±0.0220,0.8406±0.0229,0.8613±0.0069,0.8692±0.0170,0.8490±0.0074,0.8588±0.0238,0.8439±0.0274,0.8532±0.0032
AUC,GM04,0.8879±0.0119,0.8846±0.0221,0.8659±0.0390,0.8785±0.0121,0.8865±0.0333,0.8674±0.0304,0.8600±0.0176,0.8563±0.0387,0.8843±0.0086
AUC,GM05,0.8564±0.0305,0.8543±0.0102,0.8416±0.0196,0.8673±0.0263,0.8500±0.0107,0.8298±0.0339,0.8479±0.0089,0.8410±0.0151,0.8465±0.0164
AUC,GM06,0.8619±0.0152,0.8450±0.0278,0.8477±0.0054,0.8320±0.0092,0.8396±0.0141,0.8551±0.0335,0.8399±0.0093,0.8363±0.0023,0.8503±0.0354
AUC,GM07,0.9102±0.0123,0.8959±0.0062,0.9116±0.0093,0.9023±0.0123,0.9067±0.0133,0.8995±0.0088,0.9258±0.0031,0.9094±0.0060,0.8909±0.0376
AUC,GM08,0.8927±0.0085,0.8678±0.0034,0.8641±0.0158,0.8590±0.0151,0.9134±0.0335,0.8397±0.0545,0.8587±0.0416,0.8601±0.0058,0.8695±0.0216
AUC,mean,0.8764±0.0186,0.8663±0.0189,0.8516±0.0297,0.8590±0.0243,0.8649±0.0200,0.8559±0.0234,0.8490±0.0399,0.8510±0.0260,0.8565±0.0274
,,,对每个input进行通道平均,将原图的通道平均作为先验,将通道平均经过sobel算子后作为先验,光谱加权先验+SE+FocalGate base=26[实验中断],3层UNet+Sobel先验(未接入特征) base=24,4层UNet+平均先验+各层不同头数,4层UNet+Sobel先验+各层不同头数,多尺度Sobel+空洞蛇形卷积+门控融合 base=24
Recall,GM01,0.7478±0.0398,0.7158±0.0285,0.6598±0.0596,0.6844±0.0164,0.6450±0.0476,0.6729±0.0539,0.5924±0.0862,0.6698±0.0779,0.7191±0.0797
Recall,GM02,0.7383±0.0489,0.6984±0.0675,0.6314±0.0902,0.6683±0.0445,0.6712±0.0301,0.7497±0.0917,0.6158±0.0992,0.6614±0.0718,0.6059±0.1173
Recall,GM03,0.7346±0.0574,0.7703±0.0454,0.6872±0.0475,0.7305±0.0154,0.7467±0.0359,0.7043±0.0156,0.7252±0.0484,0.6937±0.0563,0.7129±0.0071
Recall,GM04,0.7797±0.0245,0.7739±0.0453,0.7366±0.0813,0.7609±0.0241,0.7787±0.0700,0.7389±0.0626,0.7231±0.0356,0.7161±0.0791,0.7731±0.0178
Recall,GM05,0.7183±0.0630,0.7156±0.0212,0.6897±0.0407,0.7439±0.0549,0.7064±0.0225,0.6653±0.0704,0.7028±0.0181,0.6880±0.0316,0.6995±0.0341
Recall,GM06,0.7294±0.0316,0.6964±0.0573,0.7020±0.0111,0.6695±0.0191,0.6848±0.0290,0.7177±0.0698,0.6863±0.0197,0.6789±0.0048,0.7082±0.0745
Recall,GM07,0.8365±0.0281,0.8063±0.0135,0.8399±0.0211,0.8182±0.0267,0.8290±0.0296,0.8121±0.0207,0.8719±0.0066,0.8350±0.0134,0.7963±0.0806
Recall,GM08,0.7951±0.0178,0.7431±0.0071,0.7349±0.0326,0.7251±0.0311,0.8415±0.0728,0.6855±0.1120,0.7247±0.0866,0.7288±0.0112,0.7470±0.0448
Recall,mean,0.7600±0.0404,0.7400±0.0402,0.7102±0.0631,0.7251±0.0512,0.7379±0.0422,0.7183±0.0483,0.7053±0.0845,0.7090±0.0557,0.7203±0.0573
